prediction,ground_truth
-0.36002207,-0.51990736
-0.35729128,-0.4232542
-0.35129902,-0.09969757
-0.30565545,-0.37894276
-0.27538836,-0.025067111
-0.2523091,-0.30412444
-0.25386313,-0.35206205
-0.26707327,0.10162321
-0.19619055,-0.04204851
-0.119960636,0.28907558
-0.047017902,0.1665373
0.029854007,-0.16631928
-0.014238457,-0.28738523
-0.112087384,-0.15735877
-0.08001884,-0.28822935
-0.08233172,-0.27030334
-0.06650105,0.21812648
0.063175604,-0.0836787
0.036393687,-0.25029868
-0.07148025,0.110263236
-0.04708228,-0.18112507
-0.073330544,-0.22424851
-0.12922226,-0.18782634
-0.0698982,0.022677664
-0.024800727,-0.12531444
-0.052373413,-0.037882138
-0.020595033,-0.18383
-0.037100162,-0.3098544
-0.120868035,-0.14647089
-0.115282275,-0.16942337
-0.09065961,0.09557984
-0.039204918,0.4873436
0.085358486,0.1563483
0.10418933,-0.15550824
-0.007889071,-0.24547657
-0.066614754,-0.24166965
-0.101918995,-0.23246272
-0.09014181,0.0037783692
0.03941556,-0.07431493
0.08307145,0.14413337
0.05713296,-0.08326265
0.012506053,-0.22177932
-0.07914927,-0.32936865
-0.13264087,-0.40782255
-0.16018909,-0.3403487
-0.16017212,-0.40611476
-0.15028831,0.03093563
-0.082561076,0.5577793
0.04915769,0.42931995
0.10260273,-0.015425372
0.014755878,-0.1341247
-0.059216697,0.4074268
-0.009342894,-0.048215333
0.027458183,0.036113504
0.107750386,-0.20523047
0.14775608,0.38724115
0.1697688,0.6752047
0.25983557,0.2606721
0.2734696,0.29598442
0.22123493,0.061440505
0.15885822,0.07545794
0.11335399,0.18404992
0.15701298,0.12216727
0.2703853,-0.08929177
0.2198801,0.26000366
0.22918454,0.12054786
0.22019643,0.039599366
0.134491,-0.087597035
0.107880704,-0.23208715
0.043492943,-0.03397552
0.012786829,0.19253823
0.098144874,-0.023543123
0.11548118,0.22972612
0.10828917,0.25883207
0.14165431,0.16892585
0.093237065,0.074672505
0.0719969,-0.1710799
0.05591833,-0.26974
-0.0062818793,0.37567607
0.10452395,0.6606815
0.29341778,0.14571533
0.25949952,0.42018014
0.22620352,0.7885996
0.28016025,0.9277303
0.31089395,0.3215923
0.31248942,0.09935947
0.31878698,0.120169885
0.28728753,0.7210099
0.3763442,0.8098876
0.52319056,0.39147496
0.5206261,0.19333851
0.43012238,0.9362163
0.42369527,0.6185679
0.43637013,0.25681648
0.40124178,0.2652727
0.4285428,0.3293395
0.42714223,0.67450964
0.4363634,0.65813565
0.5020423,0.865612
0.5255357,0.46931577
0.4618976,0.59551847
0.43514985,0.50412065
0.42239794,0.8396451
0.4706194,0.5325512
0.51278013,0.41473648
0.51264024,0.766813
0.52566403,0.3550038
0.5035347,0.35949972
0.46456525,0.16661257
0.44718274,0.42154762
0.46010914,0.78221714
0.4845111,0.81501555
0.53172606,0.5878099
0.48482,0.23489302
0.40302482,0.9591744
0.42718267,0.452483
0.4429843,0.47593054
0.45702934,0.16238412
0.4629162,0.28744933
0.45612073,0.36823073
0.4229897,0.80931365
0.47763267,0.42303917
0.48354635,0.115125
0.3896858,0.7073504
0.40344024,1.0
0.45924595,0.9360812
0.48815548,0.51317495
0.4753136,0.3944418
0.45500195,0.23237117
0.38244712,0.18538633
0.39324585,0.01680366
0.42832693,0.2104073
0.45496312,0.20453347
0.44513926,0.1502074
0.36855024,0.012850033
0.2674873,0.26871946
0.22491579,0.07619292
0.18373069,0.025060909
0.13680753,-0.03582957
0.1315453,-0.03220936
0.103463486,0.23825516
0.13086179,0.16656108
0.17429306,-0.0945628
0.124452315,-0.09367834
0.054124743,-0.16404502
0.015044131,-0.16133052
-0.028434832,0.18450022
0.061572146,0.53128606
0.20470113,0.4029765
0.22030973,0.6281379
0.2229157,0.20682271
0.18183492,-0.07356812
0.0756063,-0.11633401
0.061581593,-0.2169164
0.0989817,0.44117948
0.23126791,0.62046885
0.40393353,0.39550254
0.38704264,0.51414865
0.29504067,0.2267411
0.22533095,0.032896753
0.11518232,-0.078774616
0.11932891,-0.19978702
0.16699411,0.0045371614
0.18619977,0.83064485
0.35775498,0.368451
0.39029288,0.10602327
0.23862833,0.68467313
0.24438876,0.29675025
0.21664983,0.6126367
0.21855621,0.70403653
0.39085788,0.24875906
0.4055867,0.096839465
0.2971286,0.1831937
0.33875734,-0.04849092
0.28731918,0.05181764
0.25981745,0.7972543
0.43356863,0.34653348
0.41756973,0.0048992275
0.26587975,0.079723366
0.19880453,0.010149341
0.13100512,-0.06978272
0.0743744,0.015487088
0.17975672,-0.18159549
0.18101211,-0.21180293
0.058508765,-0.29840586
-0.0002437466,-0.2664265
-0.062338557,-0.3677362
-0.116426826,-0.40606907
-0.14872016,-0.22861302
-0.1489119,-0.21789356
-0.15194927,-0.34479356
-0.17850736,-0.36636242
-0.20542549,-0.34088853
-0.22017592,-0.43105155
-0.250518,-0.2754329
-0.23056471,-0.38637707
-0.21717732,-0.38899732
-0.23695228,-0.27202365
-0.2253995,-0.36068654
-0.23041546,-0.42081776
-0.25233096,-0.21759996
-0.22378865,0.15671502
-0.1431835,-0.20232618
-0.14060198,-0.26138237
-0.1613471,-0.3838286
-0.18656042,-0.35922474
-0.23187841,-0.024183296
-0.17097153,-0.1995958
-0.09681128,0.025096167
-0.063142546,-0.18663922
-0.08095629,-0.16341598
-0.12367042,-0.20318668
-0.14840104,0.1528925
-0.066800654,-0.01516277
-0.02278985,-0.20166662
-0.0496261,-0.2305645
-0.067565754,-0.28323093
-0.12079087,-0.21076107
-0.12945734,-0.29364273
-0.10972922,-0.22285603
-0.09188359,-0.24089861
-0.116033345,0.32257253
-0.03886516,-0.058351334
-0.027074914,-0.14940672
-0.085305706,-0.16865467
-0.09581758,-0.25498247
-0.1336704,-0.16258101
-0.13161553,-0.32385507
-0.08875707,-0.108349405
-0.056655042,-0.00069987064
