epoch,qtcn1_train_loss,qtcn1_val_loss,qtcn1_test_loss,qtcn2_train_loss,qtcn2_val_loss,qtcn2_test_loss,tcn_train_loss,tcn_val_loss,tcn_test_loss,qlstm_train_loss,qlstm_val_loss,qlstm_test_loss
1,0.07413926,0.183579177,0.145888165,0.118621337,0.078415766,0.079696871,0.183956686,0.098758303,0.077233583,0.103876999,0.125820467,0.09581238
2,0.068058816,0.147452921,0.114543684,0.087726125,0.079301491,0.074697666,0.074263189,0.203120559,0.167546943,0.071665431,0.144748725,0.11297685
3,0.069774251,0.135863796,0.104746327,0.067765768,0.086808354,0.076825723,0.083172603,0.183633789,0.151755273,0.067616023,0.139000994,0.10879417
4,0.068966414,0.174468935,0.137877434,0.060220961,0.095577493,0.081483588,0.075957002,0.131754622,0.106226601,0.064928403,0.132554241,0.1039608
5,0.069640389,0.175902992,0.139140561,0.060613096,0.099891707,0.083544031,0.064193489,0.106267363,0.084784023,0.06280281,0.126082215,0.09907053
6,0.068404856,0.154087573,0.120217636,0.06125643,0.099344403,0.082306758,0.067856063,0.103592262,0.083242208,0.061025228,0.119971221,0.09446392
7,0.068626642,0.143440619,0.111136265,0.060667548,0.094028302,0.077872269,0.066232629,0.105438545,0.085513145,0.059514363,0.114359986,0.09027839
8,0.068737864,0.159240201,0.124653853,0.058513208,0.088976637,0.073827341,0.065940223,0.108232304,0.088598475,0.058220368,0.109253278,0.08652684
9,0.068065998,0.163027138,0.127926797,0.057509772,0.08430969,0.070261218,0.063558685,0.110600382,0.091485932,0.057111378,0.104651231,0.08320545
10,0.067646375,0.157579243,0.123219736,0.055242707,0.081698418,0.067970857,0.063183552,0.105902694,0.087962225,0.056168341,0.100568876,0.08031606
11,0.068424933,0.157322228,0.122997344,0.057189407,0.078373946,0.065347597,0.057338291,0.09762793,0.081275612,0.05537703,0.09701252,0.07785184
12,0.06819116,0.158514991,0.124025881,0.056753142,0.077716872,0.064255647,0.059863667,0.093779229,0.078290895,0.054722105,0.093962152,0.07578662
13,0.066250639,0.156259298,0.122083463,0.055522766,0.076727062,0.063046217,0.059012819,0.088814087,0.074283071,0.0541861,0.09137945,0.07408009
14,0.068761465,0.165425569,0.130003721,0.055737831,0.075185597,0.061461873,0.059244617,0.083188124,0.069699392,0.053749737,0.089203102,0.07268119
15,0.069268416,0.153354585,0.119589105,0.055183402,0.074944623,0.060731083,0.059063185,0.083164707,0.069824427,0.053396435,0.087377527,0.07153912
16,0.068184963,0.160561368,0.12579155,0.054821229,0.074940138,0.060046189,0.05324882,0.086949669,0.073131159,0.053103711,0.085832287,0.07059769
17,0.068319375,0.163838848,0.128626361,0.053790753,0.074235216,0.059064411,0.056882466,0.083318613,0.070306033,0.052863633,0.084528515,0.06982434
18,0.068512954,0.154191494,0.120304048,0.054216425,0.074043691,0.058459073,0.054967528,0.079954363,0.067769416,0.05266447,0.083419805,0.06918371
19,0.068543773,0.159123391,0.124548465,0.053885402,0.072470002,0.057039768,0.053413341,0.08014942,0.068295687,0.052497011,0.08247298,0.06864952
20,0.068344922,0.154380769,0.120467678,0.052825375,0.071351491,0.056002822,0.055784246,0.07617718,0.06522508,0.052354862,0.081659187,0.06820036
21,0.068175503,0.155438721,0.121375605,0.053264469,0.070848376,0.055223159,0.054970153,0.077305987,0.066167332,0.052232677,0.080956481,0.06781988
22,0.068934034,0.152243391,0.118632853,0.052874231,0.06950096,0.054141544,0.053900347,0.072168782,0.061498761,0.052126623,0.080346438,0.06749512
23,0.069224051,0.172471166,0.136134356,0.05289344,0.068393752,0.053140901,0.05597823,0.077158377,0.065405495,0.05203352,0.079814601,0.06721602
24,0.068888551,0.164126813,0.128874913,0.052206455,0.068834096,0.0528915,0.057586934,0.076792382,0.06503284,0.051951154,0.079348592,0.06697439
25,0.068902043,0.146996975,0.114152074,0.052121641,0.068231761,0.052270595,0.054404141,0.076600924,0.064877719,0.051877559,0.078938609,0.06676379
26,0.068573863,0.153725415,0.119902611,0.050021008,0.068781607,0.052194946,0.053362432,0.077028103,0.065580241,0.051811475,0.078576027,0.06657886
27,0.068392491,0.159960359,0.125269309,0.049734992,0.068632245,0.051754773,0.051567552,0.077762708,0.066209354,0.051751566,0.078254158,0.0664154
28,0.068400955,0.165163815,0.12977314,0.05146791,0.06791053,0.0511063,0.051698532,0.075506777,0.064026564,0.05169715,0.077966851,0.06626979
29,0.068534806,0.164309442,0.129031911,0.051243699,0.066897705,0.050358199,0.050247716,0.076139994,0.064459011,0.051647201,0.077709586,0.06613932
30,0.068382888,0.154603541,0.120655984,0.049921843,0.066796951,0.0500145,0.052195887,0.072306029,0.06114091,0.051601439,0.077477828,0.06602148
31,0.069602584,0.144506127,0.112034686,0.050237212,0.066303387,0.049543295,0.052540383,0.071417168,0.060132474,,,
32,0.067890242,0.15568614,0.121586025,0.049204426,0.066013649,0.04916919,0.051596683,0.071825333,0.060450193,,,
33,0.068544367,0.173578829,0.137099355,0.049258545,0.066751555,0.049273767,0.054774614,0.071708135,0.060307998,,,
34,0.068378954,0.164615378,0.129297256,0.050656685,0.067094468,0.049271222,0.052035798,0.070236221,0.058709458,,,
35,0.068575278,0.151305795,0.117828973,0.050620954,0.066476367,0.04882348,0.051561324,0.071573108,0.059847392,,,
36,0.068565963,0.151571602,0.118056484,0.050171299,0.066198751,0.048492931,0.052280647,0.071925223,0.060111623,,,
37,0.067845902,0.160513043,0.125746086,0.049805515,0.066425234,0.048485316,0.048928415,0.080023788,0.066987276,,,
38,0.067935014,0.158562481,0.124063104,0.049541874,0.066285938,0.048182588,0.049746373,0.070824288,0.05935752,,,
39,0.068359201,0.156902671,0.122633293,0.049799649,0.065789208,0.047760691,0.048775065,0.068237841,0.057340171,,,
40,0.066421323,0.157586128,0.123221919,0.05003661,0.064344302,0.046978548,0.05106935,0.068879418,0.05799035,,,
41,0.065778714,0.162896112,0.127808109,0.04927761,0.064340711,0.046924919,0.049627629,0.070159532,0.05900592,,,
42,0.068262526,0.162089437,0.127109945,0.048481677,0.064513639,0.046751298,0.047669744,0.069321439,0.058336101,,,
