epoch,qtcn1_train_loss,qtcn1_train_auc,qtcn1_val_loss,qtcn1_val_auc,qtcn1_test_loss,qtcn1_test_auc,qtcn2_train_loss,qtcn2_train_auc,qtcn2_val_loss,qtcn2_val_auc,qtcn2_test_loss,qtcn2_test_auc,tcn_train_loss,tcn_train_auc,tcn_val_loss,tcn_val_auc,tcn_test_loss,tcn_test_auc,qlstm_train_loss,qlstm_train_auc,qlstm_val_loss,qlstm_val_auc,qlstm_test_loss,qlstm_test_auc
1,0.693400355,0.493880284,0.693237591,0.551023597,0.628752102,0.746369376,0.69820371,0.530235956,0.697395062,0.560321925,0.638936541,0.762036306,0.69386553,0.476366659,0.693233484,0.521526801,0.618680602,0.682951855,,,,,,
2,0.693262412,0.512532044,0.693165529,0.557196437,0.628752102,0.746369376,0.692066271,0.597039415,0.694412154,0.572472261,0.638936541,0.762036306,0.692868224,0.511124635,0.693156022,0.522620722,0.618680602,0.682951855,,,,,,
3,0.693174963,0.517745202,0.693117034,0.561728395,0.628752102,0.746369376,0.68910314,0.623589898,0.692245644,0.594936709,0.638936541,0.762036306,0.691711101,0.564559503,0.693044388,0.527113612,0.618680602,0.682951855,,,,,,
4,0.693090084,0.538150837,0.693071288,0.565986873,0.628752102,0.746369376,0.685862805,0.637436002,0.690964067,0.605055477,0.638936541,0.762036306,0.692023055,0.543380151,0.692968315,0.53078606,0.618680602,0.682951855,,,,,,
5,0.693029509,0.521610191,0.69302153,0.56969839,0.628752102,0.746369376,0.683259765,0.658358645,0.689295274,0.616619784,0.638936541,0.762036306,0.691465464,0.556628466,0.692900485,0.536763557,0.618680602,0.682951855,,,,,,
6,0.692971134,0.572199723,0.692993766,0.575050789,0.628752102,0.746369376,0.681686404,0.675500671,0.687594533,0.629395218,0.638936541,0.762036306,0.691628606,0.550372317,0.692779613,0.539420222,0.618680602,0.682951855,,,,,,
7,0.692880282,0.592765128,0.692971081,0.584114705,0.628752102,0.746369376,0.679276106,0.686241141,0.686366677,0.638224723,0.638936541,0.762036306,0.690680361,0.567006312,0.692653847,0.541881544,0.618680602,0.682951855,,,,,,
8,0.692833709,0.576581719,0.692913377,0.590678231,0.628752102,0.746369376,0.676776837,0.699871825,0.685261536,0.64474918,0.638936541,0.762036306,0.69019355,0.581453796,0.692534447,0.543366151,0.618680602,0.682951855,,,,,,
9,0.692733112,0.61373265,0.692843741,0.59853102,0.628752102,0.746369376,0.6745725,0.714200829,0.68323105,0.658813877,0.638936541,0.762036306,0.689708981,0.595861787,0.69234466,0.54590561,0.618680602,0.682951855,,,,,,
10,0.692592036,0.620837911,0.692751616,0.60974371,0.628752102,0.746369376,0.672675968,0.726163805,0.681480175,0.667877793,0.638936541,0.762036306,0.688483181,0.596394951,0.692086655,0.548757618,0.618680602,0.682951855,,,,,,
11,0.692437278,0.607962991,0.692616475,0.621581497,0.628752102,0.746369376,0.669759962,0.736275967,0.679405946,0.674871074,0.638936541,0.762036306,0.688814635,0.595165263,0.69197492,0.550320363,0.618680602,0.682951855,,,,,,
12,0.692158638,0.646925242,0.692425931,0.63998281,0.628752102,0.746369376,0.666362182,0.746310937,0.676838028,0.685497734,0.638936541,0.762036306,0.688054408,0.601968936,0.691625094,0.554696046,0.618680602,0.682951855,,,,,,
13,0.691713457,0.681241608,0.692121655,0.662408189,0.628752102,0.746369376,0.663947904,0.749386054,0.675012714,0.685185185,0.638936541,0.762036306,0.687298886,0.60391669,0.69136973,0.556962025,0.618680602,0.682951855,,,,,,
14,0.691284112,0.688714878,0.691690153,0.67244882,0.628752102,0.746369376,0.660740058,0.752979973,0.671926594,0.691787779,0.638936541,0.762036306,0.68618603,0.613384388,0.690932423,0.561923738,0.618680602,0.682951855,,,,,,
