epoch,qtcn1_train_loss,qtcn1_train_auc,qtcn1_val_loss,qtcn1_val_auc,qtcn1_test_loss,qtcn1_test_auc,qtcn2_train_loss,qtcn2_train_auc,qtcn2_val_loss,qtcn2_val_auc,qtcn2_test_loss,qtcn2_test_auc,tcn_train_loss,tcn_train_auc,tcn_val_loss,tcn_val_auc,tcn_test_loss,tcn_test_auc,qlstm_train_loss,qlstm_train_auc,qlstm_val_loss,qlstm_val_auc,qlstm_test_loss,qlstm_test_auc
1,0.693306724,0.492729584,0.692991018,0.584778872,0.618503072,0.740923441,0.691979358,0.553043522,0.686378622,0.63857634,0.590491848,0.753117601,0.693263418,0.496880004,0.693055558,0.517541803,0.55669642,0.768508287,,,,,,
2,0.693040174,0.499118574,0.692858499,0.601773715,0.618503072,0.740923441,0.677821313,0.646365151,0.674829429,0.681004845,0.590491848,0.753117601,0.69289611,0.504511249,0.692838442,0.537974684,0.55669642,0.768508287,,,,,,
3,0.692499906,0.571451139,0.692219257,0.623808408,0.618503072,0.740923441,0.664633869,0.693064561,0.667613375,0.693624004,0.590491848,0.753117601,0.692284167,0.545232761,0.692493397,0.563095796,0.55669642,0.768508287,,,,,,
4,0.690753627,0.645598616,0.690046763,0.665377403,0.618503072,0.740923441,0.652282916,0.722447815,0.660331744,0.695655571,0.590491848,0.753117601,0.692096663,0.545338676,0.692240798,0.584114705,0.55669642,0.768508287,,,,,,
5,0.684854925,0.681207499,0.681771564,0.684989842,0.618503072,0.740923441,0.642636557,0.738510947,0.652840066,0.707610564,0.590491848,0.753117601,0.691697729,0.547476717,0.691903031,0.597046414,0.55669642,0.768508287,,,,,,
6,0.674019391,0.705233982,0.671226114,0.67104235,0.618503072,0.740923441,0.635160573,0.750676777,0.651587123,0.710970464,0.590491848,0.753117601,0.691094685,0.572621586,0.69160136,0.608141897,0.55669642,0.768508287,,,,,,
7,0.654434044,0.726666451,0.655121702,0.695303954,0.618503072,0.740923441,0.628742004,0.766061337,0.646208394,0.716283794,0.590491848,0.753117601,0.690714305,0.584374529,0.69131695,0.614392874,0.55669642,0.768508287,,,,,,
8,0.637346179,0.741241392,0.646788961,0.695577434,0.618503072,0.740923441,0.623343638,0.774719416,0.6414536,0.726168151,0.590491848,0.753117601,0.690302867,0.601565024,0.691023076,0.619745273,0.55669642,0.768508287,,,,,,
9,0.629930954,0.74072618,0.640985996,0.704446007,0.618503072,0.740923441,0.619333049,0.783294917,0.638622338,0.731989373,0.590491848,0.753117601,0.689426881,0.635263853,0.690731502,0.615916549,0.55669642,0.768508287,,,,,,
10,0.61822882,0.757950784,0.638682884,0.708040319,0.618503072,0.740923441,0.614406453,0.790236818,0.637295997,0.73152055,0.590491848,0.753117601,0.688564479,0.630124297,0.690307331,0.621190811,0.55669642,0.768508287,,,,,,
